post_id,run_id,scraped_at,price,year,make,model,mileage,condition,title_status,body_type,color,seller_type,drivetrain,city,state,zip_code,source_txt,llm_provider,llm_model,llm_ts
7914891047,20260305152410,2026-03-05T15:24:10Z,3650,2009,Ford,Flex,152470,excellent,clean,SUV,red,dealer,AWD,Meriden,CT,,scrapes/20260305152410/7914891047.txt,vertex,gemini-2.5-flash,2026-04-04T01:31:27.073231Z
7915119788,20260305152410,2026-03-05T15:24:10Z,10750,2012,Toyota,Venza,136009,Used,clean,SUV,Magnetic Gray Metallic,dealer,fwd,Bridgeport,CT,06606,scrapes/20260305152410/7915119788.txt,vertex,gemini-2.5-flash,2026-04-04T01:31:30.554756Z
7915306984,20260305152410,2026-03-05T15:24:10Z,5400,2013,Volkswagen,Gti,185000,,clean,,grey,private party,,Wallingford,CT,,scrapes/20260305152410/7915306984.txt,vertex,gemini-2.5-flash,2026-04-04T01:31:33.844459Z
7915330716,20260305152410,2026-03-05T15:24:10Z,14900,2017,Lincoln,MKT,190964,good,clean,Limousine,black,private party,4wd,,,,scrapes/20260305152410/7915330716.txt,vertex,gemini-2.5-flash,2026-03-25T17:26:39.989508Z
7915627680,20260305152410,2026-03-05T15:24:10Z,3288,2002,Dodge,Neon,150000,,clean,,,dealer,,,,,scrapes/20260305152410/7915627680.txt,vertex,gemini-2.5-flash,2026-03-25T17:26:48.410214Z
7915803004,20260305152410,2026-03-05T15:24:10Z,12000,2015,Subaru,Forester,88403,Used,clean,SUV,Brown,dealer,awd,,,,scrapes/20260305152410/7915803004.txt,vertex,gemini-2.5-flash,2026-03-25T17:26:51.396562Z
7916260751,20260305152410,2026-03-05T15:24:10Z,3500,2003,Ford,Taurus,85000,very nice,clean,sedan,,private party,,,,,scrapes/20260305152410/7916260751.txt,vertex,gemini-2.5-flash,2026-03-25T17:26:54.322960Z
7916390369,20260305152410,2026-03-05T15:24:10Z,5885,2012,Mini Cooper,Countryman S Hatchback,118000,excellent,clean,SUV,white,,fwd,,,,scrapes/20260305152410/7916390369.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:02.177366Z
7916393408,20260305152410,2026-03-05T15:24:10Z,10900,2014,Subaru,XV CrossTrek,124824,excellent,clean,wagon,grey,dealer,4wd,,,,scrapes/20260305152410/7916393408.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:05.579062Z
7916662009,20260305152410,2026-03-05T15:24:10Z,27495,2022,Mercedes-benz,C-class,38292,Used,clean,sedan,black,dealer,awd,,,,scrapes/20260305152410/7916662009.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:09.829939Z
7917691194,20260305152410,2026-03-05T15:24:10Z,29500,2016,BMW,650xi Gran Coupe,57262,like new,clean,coupe,silver,dealer,4wd,,,,scrapes/20260305152410/7917691194.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:13.409230Z
7918072752,20260305152410,2026-03-05T15:24:10Z,3288,2007,ford,focus,185000,,clean,,,dealer,fwd,,,,scrapes/20260305152410/7918072752.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:17.020643Z
7918153201,20260305152410,2026-03-05T15:24:10Z,8500,2012,Toyota,Camry LE,160899,like new,clean,sedan,red,dealer,fwd,,,,scrapes/20260305152410/7918153201.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:21.522393Z
7918894357,20260305152410,2026-03-05T15:24:10Z,10900,2007,Chevrolet,Silverado 1500 Z71 LT 6 1/2FT,114000,excellent,clean,truck,blue,private party,4wd,,,,scrapes/20260305152410/7918894357.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:24.883770Z
7918980886,20260305152410,2026-03-05T15:24:10Z,2300,2014,Scion,tc,60000,salvage,salvage,coupe,grey,private party,fwd,,,,scrapes/20260305152410/7918980886.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:33.186100Z
7919176787,20260305152410,2026-03-05T15:24:10Z,23900,2025,Kia,Seltos EX,9400,like new,clean,SUV,midnight black,private party,,,,,scrapes/20260305152410/7919176787.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:41.583771Z
7919196754,20260305152410,2026-03-05T15:24:10Z,11900,2014,Acura,MDX,145379,Used,clean,SUV,Fathom Blue Pearl,dealer,AWD,,,,scrapes/20260305152410/7919196754.txt,vertex,gemini-2.5-flash,2026-03-25T17:27:49.136006Z
7920047049,20260326170009,2026-03-26T17:00:09Z,10998,2014,Subaru,Outback,116909,Used,clean,Wagon,black,dealer,awd,,,,scrapes/20260326170009/7920047049.txt,vertex,gemini-2.5-flash,2026-03-26T17:12:20.715726Z
7920050164,20260326180042,2026-03-26T18:00:42Z,5900,2015,chevy,city express,157000,excellent,clean,van,white,private party,fwd,,,,scrapes/20260326180042/7920050164.txt,vertex,gemini-2.5-flash,2026-03-26T18:12:18.176742Z
7920234052,20260326210028,2026-03-26T21:00:28Z,3400,2011,Honda,Civic,56000,excellent,clean,sedan,white,private party,fwd,,,,scrapes/20260326210028/7920234052.txt,vertex,gemini-2.5-flash,2026-03-26T21:12:13.459054Z
7920434986,20260327110027,2026-03-27T11:00:27Z,6885,2008,Infiniti,M45X AWD Premium Sedan,134000,good,clean,sedan,silver,private party,AWD,,,,scrapes/20260327110027/7920434986.txt,vertex,gemini-2.5-flash,2026-03-27T11:12:27.659904Z
7920742446,20260328100024,2026-03-28T10:00:24Z,16950,2021,Subaru,Forester,113372,Used,clean,SUV,red,dealer,awd,,,,scrapes/20260328100024/7920742446.txt,vertex,gemini-2.5-flash,2026-03-28T10:12:15.165211Z
7920755945,20260327160036,2026-03-27T16:00:36Z,1250,2005,Ford,Escape,183000,good,clean,SUV,blue,private party,4WD,,,,scrapes/20260327160036/7920755945.txt,vertex,gemini-2.5-flash,2026-03-27T16:12:35.391459Z
7920757201,20260328230033,2026-03-28T23:00:33Z,10900,2017,Land Rover,Discovery,165497,Used,clean,SUV,green,dealer,,,,,scrapes/20260328230033/7920757201.txt,vertex,gemini-2.5-flash,2026-03-28T23:12:18.590123Z
7920772502,20260330220034,2026-03-30T22:00:34Z,7485,2013,Mercedes-Benz,C300 4-matic Luxury Sedan,130000,excellent,clean,sedan,red,private party,4wd,,,,scrapes/20260330220034/7920772502.txt,vertex,gemini-2.5-flash,2026-03-30T22:12:19.874856Z
7920780110,20260330210023,2026-03-30T21:00:23Z,15000,2005,Toyota,Tundra,105000,excellent,clean,truck,white,private party,4x4,,,,scrapes/20260330210023/7920780110.txt,vertex,gemini-2.5-flash,2026-03-30T21:12:32.503293Z
7920935228,20260331050005,2026-03-31T05:00:05Z,1500,2006,Lexus,GS 300,230000,good,clean,sedan,black,private party,4wd,,,,scrapes/20260331050005/7920935228.txt,vertex,gemini-2.5-flash,2026-03-31T05:12:15.792073Z
